domain,brand,operator,platform,confidence,evidence_host
ezbet.com,EZBET 이지벳,Brightshore Solutions Ltd,,,
ezcash.casino,EZCASH,EZCS Solutions Ltd,,,
fancyreels.best,Fancy Reels Casino,3-102-940828 SRL,,,
fatbets.com,Gamdom,Fatbets Ltd,,,
fenixbet.online,FenixBet,Spiritus Limited,,,
fixa.casino,Переход на новый сайт,FX Solutions Ltd,,,
fixbet.com,Fixbet Bahis ve Casino Sitesi,Galactic Infinity Ltd,,,
flex2bet.com,porkbun.com,Bright Entertainment Inc,,,
flush.com,Flush Crypto Casino,Fordegens Limitada,,,
flush.io,Flush.io,Purple Dragon Ltd.,,,
fortislots.com,Fortislots,3-102-945845 SRL,,,
fortunehub.io,Fortune HUB,Fortune HUB OÜ,,,
forzabet.live,Forza.Bet,BeLion International Holdings Ltd.,,,
freespinz.com,Freespinz,Pacific Odds SRL,,,
frogbet.com,Sign in ・ Cloudflare Access,3-102-940062 SRL,,,
fruitychance.best,Restricted country,3-102-940828 SRL,,,
fuegos.bet,Fuegos,Fuego Ltd,,,
funbahis.com,Funbahis,Total Unlimited Marketing Ltd,,,
funbet.me,Funbet,3-102-938581 Limitada,,,
funbet888.me,Funbet,3-102-938581 Limitada,,,
g4mbit.com,G4mbit,CONDOOR V.P. LIMITED,,,
gamblit.net,Gamblit,3-102-954785 LIMITADA,,,
gamealotroyale.com,Gamealotroyale,3-102-954988 SRL,,,
gameslots.com,GameSlots,Solid X Ltd,,,
gamwiz.com,Gamwiz,Gamwiz Inc,,,
ganamega.net,GanaMega Casino,Juicecraft Limited,,,
ganare.com,Ganare,Born Champion Entertainment Ltd,,,
gangabet.mx,GANGABET Apuestas y Casino Online,OW Internacional Ltd,,,
garrisonbet.com,Access Forbidden,Win Top Ltd,,,
gbetplay.net,Gbet Casino,Juicecraft Limited,,,
gbjp.fun,Gbjp,U2IS Limited,,,
getwin.online,Getwin,3-102-945845 SRL,,,
godsgame.casino,Temporary Auth,Galaxy Byte Lab SRL,,,
gold.casino,Gold Casino,3-102-944744 SRL,,,
gold24x7.com,Gold Casino,3-102-944744 SRL,,,
goldante.com,Gold Ante,GBO ASSETS LTD,,,
goldenclovercasino.com,Golden Clover Casino,PC Play365 Ltd,,,
gorillacasinos.com,Gorilla Casino,Luminous Interactive Solutions Ltd,,,
graildraw.com,GrailDraw,Grail Technologies Ltd.,,,
grandx.game,GrandX,Ay Information Technology LTD,,,
grbets.com,Grbets Resmi Giriş Adresi,Eagle Nobility LTD,,,
greatslots.com,Great Slot,BrightSky Ltd,,,
grizzly.online,Casino Grizzly,GC Service Group Ltd,,,
grizzly.win,Casino Grizzly,GC Service Group Ltd,,,
hahaspin.com,403,Win Top Ltd,,,
hana.asia,Hana,U2IS Limited,,,
haydicasino.com,Haydicasino Giriş Adresi Güncellendi,Nowplatform Ltd.,,,
heavybet.com,403,Win Top Ltd,,,
hit.com,HIT,Novarex Media Ltd,,,
hojabet.com,Redirecting...,Luxora Interactive Limited,,,
hotslot.com,Hotslot Resmi Site,3-102-947593 SRL,,,
howzitcasino.com,Howzit.com,RegalTech Solutions Limitada,,,
hype247.bet,Hype247,One Crane Studio Ltd,,,
hyperoll.com,Hyperoll Crypto Casino,Quantum House Ltd,,,
hyperwin.org,Hyperwin,3-102-948725 SRL,,,
ibitplay.com,air1bet,Coderstuff Ltd.,,,
ikasbet.com,Ikasbet,Fortuna Digital Solutions FDS Limitada,,,
ilove.casino,403,EXENTIA LTD,,,
imperia.bet,IMPERIABET,3-102-939877 SRL,,,
inky.bet,An error occurred,3-102-937541 SRL,,,
interwin.com,Interwin,3-102-959230 SRL,,,
j8de.io,J8DE,3-102-937610 SRL,,,
jackpot88.io,Jackpot88,3-102-950412 LIMITADA,,,
jasino.com,Jasino,Obsidian Titan Limited,,,
jeevybet.com,Jeevybet,3-102-947122 SRL,,,
jimmywinner.best,Jimmy Winner Casino,3-102-940828 SRL,,,
jogpix.com,Under maintenance,Summer Spins Ltd,,,
jokertipp.com,Joker Tipp Casino,Mirella Ltd,,,
jp88.io,Jp88,3-102-950412 LIMITADA,,,
juegojoker.com,JuegoJoker,Nova Code Limitada,,,
k1.game,K1 Game,3-102-938908 SRL,,,
kavbet.com,Kavbet,3-102-949697 SRL,,,
keyzino.com,Keyzino,Dexbay Ltd,,,
kheli.bet,Kheli,Ingrex Tech LTD,,,
kikabet.com,Kikabet,Blackwave Ltd.,,,
kirabet.com,Kira.Bet,Arkevia Group Ltd,,,
kranz.top,Kranz Top,3-102-952153 SRL,,,
kush.casino,Kush,3-102-937610 SRL,,,
kuzeycasino.com,Welcome to nginx!,Mistletoe Ltd,,,
lbspins.best,LB Spins Casino,3-102-940828 SRL,,,
